"headword"	"type"	"comment"	"number"	"verses"
"mundus, mundi"	""	""	"17:24"	"la : Pater, quod dedisti mihi, volo, ut ubi ego sum, et illi sint mecum, ut videant claritatem meam, quam dedisti mihi, quia dilexisti me ante constitutionem mundi.
en: Father, they are your gift to me. I wish that where I am they also may be with me, that they may see my glory that you gave me, because you loved me before the foundation of the world."
"respondeo, respondere, respondi, responsus"	""	""	"1:21"	"la : Et interrogaverunt eum: “ Quid ergo? Elias es tu? ”. Et dicit: “ Non sum ”. “ Propheta es tu? ”. Et respondit: “ Non ”.
en: So they asked him, ""What are you then? Are you Elijah?"" And he said, ""I am not."" ""Are you the Prophet?"" He answered, ""No."
"respondeo, respondere, respondi, responsus"	""	""	"3:3"	"la : Respondit Iesus et dixit ei: “ Amen, amen dico tibi: Nisi quis natus fuerit desuper, non potest videre regnum Dei ”.
en: Jesus answered and said to him, ""Amen, amen, I say to you, no one can see the kingdom of God without being born from above."
"respondeo, respondere, respondi, responsus"	""	""	"4:17"	"la : Respondit mulier et dixit ei: “ Non habeo virum ”. Dicit ei Iesus: “ Bene dixisti: “Non habeo virum”;
en: The woman answered and said to him, ""I do not have a husband."" Jesus answered her, ""You are right in saying, 'I do not have a husband.'"
"respondeo, respondere, respondi, responsus"	""	""	"6:43"	"la : Respondit Iesus et dixit eis: “ Nolite murmurare in invicem.
en: Jesus answered and said to them, ""Stop murmuring among yourselves."
"respondeo, respondere, respondi, responsus"	""	""	"7:52"	"la : Responderunt et dixerunt ei: “ Numquid et tu ex Galilaea es? Scrutare et vide quia propheta a Galilaea non surgit! ”.
en: They answered and said to him, ""You are not from Galilee also, are you? Look and see that no prophet arises from Galilee."
"respondeo, respondere, respondi, responsus"	""	""	"9:3"	"la : Respondit Iesus: “ Neque hic peccavit neque parentes eius, sed ut manifestentur opera Dei in illo.
en: Jesus answered, ""Neither he nor his parents sinned; it is so that the works of God might be made visible through him."
"respondeo, respondere, respondi, responsus"	""	""	"9:34"	"la : Responderunt et dixerunt ei: “ In peccatis tu natus es totus et tu doces nos? ”. Et eiecerunt eum foras.
en: They answered and said to him, ""You were born totally in sin, and are you trying to teach us?"" Then they threw him out."
"respondeo, respondere, respondi, responsus"	""	""	"12:23"	"la : Iesus autem respondet eis dicens: “ Venit hora, ut glorificetur Filius hominis.
en: Jesus answered them, ""The hour has come for the Son of Man to be glorified."
"respondeo, respondere, respondi, responsus"	""	""	"13:38"	"la : Respondet Iesus: “ Animam tuam pro me pones? Amen, amen dico tibi: Non cantabit gallus, donec me ter neges.
en: Jesus answered, ""Will you lay down your life for me? Amen, amen, I say to you, the cock will not crow before you deny me three times."
"respondeo, respondere, respondi, responsus"	""	""	"18:23"	"la : Respondit ei Iesus: “ Si male locutus sum, testimonium perhibe de malo; si autem bene, quid me caedis? ”.
en: Jesus answered him, ""If I have spoken wrongly, testify to the wrong; but if I have spoken rightly, why do you strike me?"
"discipulus, discipuli"	""	""	"2:11"	"la : Hoc fecit initium signorum Iesus in Cana Galilaeae et manifestavit gloriam suam, et crediderunt in eum discipuli eius.
en: Jesus did this as the beginning of his signs in Cana in Galilee and so revealed his glory, and his disciples began to believe in him."
"discipulus, discipuli"	""	""	"4:1"	"la : Ut ergo cognovit Iesus quia audierunt pharisaei quia Iesus plures discipulos facit et baptizat quam Ioannes
en: Now when Jesus learned that the Pharisees had heard that Jesus was making and baptizing more disciples than John"
"discipulus, discipuli"	""	""	"6:8"	"la : Dicit ei unus ex discipulis eius, Andreas frater Simonis Petri:
en: One of his disciples, Andrew, the brother of Simon Peter, said to him,"
"discipulus, discipuli"	""	""	"6:61"	"la : Sciens autem Iesus apud semetipsum quia murmurarent de hoc discipuli eius, dixit eis: “ Hoc vos scandalizat?
en: Since Jesus knew that his disciples were murmuring about this, he said to them, ""Does this shock you?"
"discipulus, discipuli"	""	""	"9:28"	"la : Et maledixerunt ei et dixerunt: “ Tu discipulus illius es, nos autem Moysis discipuli sumus.
en: They ridiculed him and said, ""You are that man's disciple; we are disciples of Moses!"
"discipulus, discipuli"	""	""	"12:16"	"la : Haec non cognoverunt discipuli eius primum, sed quando glorificatus est Iesus, tunc recordati sunt quia haec erant scripta de eo, et haec fecerunt ei.
en: His disciples did not understand this at first, but when Jesus had been glorified they remembered that these things were written about him and that they had done this for him."
"discipulus, discipuli"	""	""	"16:17"	"la : Dixerunt ergo ex discipulis eius ad invicem: “ Quid est hoc, quod dicit nobis: “Modicum, et non videtis me; et iterum modicum, et videbitis me” et: “Vado ad Patrem”? ”.
en: So some of his disciples said to one another, ""What does this mean that he is saying to us, 'A little while and you will not see me, and again a little while and you will see me,' and 'Because I am going to the Father'?"
"discipulus, discipuli"	""	""	"18:19"	"la : Pontifex ergo interrogavit Iesum de discipulis suis et de doctrina eius.
en: The high priest questioned Jesus about his disciples and about his doctrine."
"discipulus, discipuli"	""	""	"20:8"	"la : Tunc ergo introivit et alter discipulus, qui venerat primus ad monumentum, et vidit et credidit.
en: Then the other disciple also went in, the one who had arrived at the tomb first, and he saw and believed."
"discipulus, discipuli"	""	""	"20:26"	"la : Et post dies octo iterum erant discipuli eius intus, et Thomas cum eis. Venit Iesus ianuis clausis et stetit in medio et dixit: “ Pax vobis! ”.
en: Now a week later his disciples were again inside and Thomas was with them. Jesus came, although the doors were locked, and stood in their midst and said, ""Peace be with you."
"mitto, mittere, misi, missus"	""	""	"1:24"	"la : Et qui missi fuerant, erant ex pharisaeis;
en: Some Pharisees were also sent."
"mitto, mittere, misi, missus"	""	""	"5:24"	"la : Amen, amen dico vobis: Qui verbum meum audit et credit ei, qui misit me, habet vitam aeternam et in iudicium non venit, sed transiit a morte in vitam.
en: Amen, amen, I say to you, whoever hears my word and believes in the one who sent me has eternal life and will not come to condemnation, but has passed from death to life."
"mitto, mittere, misi, missus"	""	""	"6:29"	"la : Respondit Iesus et dixit eis: “ Hoc est opus Dei, ut credatis in eum, quem misit ille ”.
en: Jesus answered and said to them, ""This is the work of God, that you believe in the one he sent."
"mitto, mittere, misi, missus"	""	""	"7:18"	"la : Qui a semetipso loquitur, gloriam propriam quaerit; qui autem quaerit gloriam eius, qui misit illum, hic verax est, et iniustitia in illo non est.
en: Whoever speaks on his own seeks his own glory, but whoever seeks the glory of the one who sent him is truthful, and there is no wrong in him."
"mitto, mittere, misi, missus"	""	""	"7:44"	"la : Quidam autem ex ipsis volebant apprehendere eum, sed nemo misit super illum manus.
en: Some of them even wanted to arrest him, but no one laid hands on him."
"mitto, mittere, misi, missus"	""	""	"10:36"	"la : quem Pater sanctificavit et misit in mundum, vos dicitis: “Blasphemas!”, quia dixi: Filius Dei sum?
en: can you say that the one whom the Father has consecrated and sent into the world blasphemes because I said, 'I am the Son of God'?"
"mitto, mittere, misi, missus"	""	""	"13:2"	"la : Et in cena, cum Diabolus iam misisset in corde, ut traderet eum Iudas Simonis Iscariotis,
en: The devil had already induced Judas, son of Simon the Iscariot, to hand him over. So, during supper,"
"mitto, mittere, misi, missus"	""	""	"15:21"	"la : Sed haec omnia facient vobis propter nomen meum, quia nesciunt eum, qui misit me.
en: And they will do all these things to you on account of my name, because they do not know the one who sent me."
"mitto, mittere, misi, missus"	""	""	"17:18"	"la : Sicut me misisti in mundum, et ego misi eos in mundum;
en: As you sent me into the world, so I sent them into the world."
"mitto, mittere, misi, missus"	""	""	"19:24"	"la : Dixerunt ergo ad invicem: “ Non scindamus eam, sed sortiamur de illa,cuius sit ”, ut Scriptura impleatur dicens: “ Partiti sunt vestimenta mea sibi et in vestem meam miserunt sortem ”. Et milites quidem haec fecerunt.
en: So they said to one another, ""Let's not tear it, but cast lots for it to see whose it will be,"" in order that the passage of scripture might be fulfilled (that says): ""They divided my garments among them, and for my vesture they cast lots."" This is what the soldiers did."
"do, dare, dedi, datus"	""	""	"1:22"	"la : Dixerunt ergo ei: “ Quis es? Ut responsum demus his, qui miserunt nos. Quid dicis de teipso? ”.
en: So they said to him, ""Who are you, so we can give an answer to those who sent us? What do you have to say for yourself?"
"do, dare, dedi, datus"	""	""	"4:12"	"la : Numquid tu maior es patre nostro Iacob, qui dedit nobis puteum, et ipse ex eo bibit et filii eius et pecora eius? ”.
en: Are you greater than our father Jacob, who gave us this cistern and drank from it himself with his children and his flocks?"
"do, dare, dedi, datus"	""	""	"5:27"	"la : et potestatem dedit ei iudicium facere, quia Filius hominis est.
en: And he gave him power to exercise judgment, because he is the Son of Man."
"do, dare, dedi, datus"	""	""	"6:33"	"la : panis enim Dei est, qui descendit de caelo et dat vitam mundo ”.
en: For the bread of God is that which comes down from heaven and gives life to the world."
"do, dare, dedi, datus"	""	""	"6:52"	"la : Litigabant ergo Iudaei ad invicem dicentes: “ Quomodo potest hic nobis carnem suam dare ad manducandum? ”.
en: The Jews quarreled among themselves, saying, ""How can this man give us (his) flesh to eat?"
"do, dare, dedi, datus"	""	""	"11:57"	"la : Dederant autem pontifices et pharisaei mandatum, ut, si quis cognoverit, ubi sit, indicet, ut apprehendant eum.
en: For the chief priests and the Pharisees had given orders that if anyone knew where he was, he should inform them, so that they might arrest him."
"do, dare, dedi, datus"	""	""	"13:29"	"la : quidam enim putabant quia loculos habebat Iudas, quia dicit ei Iesus: “ Eme ea, quae opus sunt nobis ad diem festum ”, aut egenis ut aliquid daret.
en: Some thought that since Judas kept the money bag, Jesus had told him, ""Buy what we need for the feast,"" or to give something to the poor."
"do, dare, dedi, datus"	""	""	"17:7"	"la : Nunc cognoverunt quia omnia, quae dedisti mihi, abs te sunt,
en: Now they know that everything you gave me is from you,"
"do, dare, dedi, datus"	""	""	"17:14"	"la : Ego dedi eis sermonem tuum, et mundus odio eos habuit, quia non sunt de mundo, sicut ego non sum de mundo.
en: I gave them your word, and the world hated them, because they do not belong to the world any more than I belong to the world."
"do, dare, dedi, datus"	""	""	"18:22"	"la : Haec autem cum dixisset, unus assistens ministrorum dedit alapam Iesu dicens: “ Sic respondes pontifici? ”.
en: When he had said this, one of the temple guards standing there struck Jesus and said, ""Is this the way you answer the high priest?"
"Judaeus, Judaei"	""	""	"2:18"	"la : Responderunt ergo Iudaei et dixerunt ei: “ Quod signum ostendis nobis, quia haec facis? ”.
en: At this the Jews answered and said to him, ""What sign can you show us for doing this?"
"Judaeus, Judaei"	""	""	"5:1"	"la : Post haec erat dies festus Iudaeorum, et ascendit Iesus Hierosolymam.
en: After this, there was a feast of the Jews, and Jesus went up to Jerusalem."
"Judaeus, Judaei"	""	""	"7:1"	"la : Et post haec ambulabat Iesus in Galilaeam; non enim volebat in Iudaeam ambulare, quia quaerebant eum Iudaei interficere.
en: After this, Jesus moved about within Galilee; but he did not wish to travel in Judea, because the Jews were trying to kill him."
"Judaeus, Judaei"	""	""	"8:31"	"la : Dicebat ergo Iesus ad eos, qui crediderunt ei, Iudaeos: “ Si vos manseritis in sermone meo, vere discipuli mei estis
en: Jesus then said to those Jews who believed in him, ""If you remain in my word, you will truly be my disciples,"
"Judaeus, Judaei"	""	""	"10:19"	"la : Dissensio iterum facta est inter Iudaeos propter sermones hos.
en: Again there was a division among the Jews because of these words."
"Judaeus, Judaei"	""	""	"11:31"	"la : Iudaei igitur, qui erant cum ea in domo et consolabantur eam, cum vidissent Mariam quia cito surrexit et exiit, secuti sunt eam putantes: “ Vadit ad monumentum, ut ploret ibi ”.
en: So when the Jews who were with her in the house comforting her saw Mary get up quickly and go out, they followed her, presuming that she was going to the tomb to weep there."
"Judaeus, Judaei"	""	""	"12:9"	"la : Cognovit ergo turba multa ex Iudaeis quia illic est, et venerunt non propter Iesum tantum, sed ut et Lazarum viderent, quem suscitavit a mortuis.
en: (The) large crowd of the Jews found out that he was there and came, not only because of Jesus, but also to see Lazarus, whom he had raised from the dead."
"Judaeus, Judaei"	""	""	"18:31"	"la : Dixit ergo eis Pilatus: “ Accipite eum vos et secundum legem vestram iudicate eum! ”. Dixerunt ei Iudaei: “ Nobis non licet interficere quemquam ”,
en: At this, Pilate said to them, ""Take him yourselves, and judge him according to your law."" The Jews answered him, ""We do not have the right to execute anyone,"
"Judaeus, Judaei"	""	""	"19:3"	"la : et veniebant ad eum et dicebant: “ Ave, rex Iudaeorum! ”, et dabant ei alapas.
en: and they came to him and said, ""Hail, King of the Jews!"" And they struck him repeatedly."
"Judaeus, Judaei"	""	""	"19:21"	"la : Dicebant ergo Pilato pontifices Iudaeorum: “ Noli scribere: Rex Iudaeorum, sed: Ipse dixit: “Rex sum Iudaeorum” ”.
en: So the chief priests of the Jews said to Pilate, ""Do not write 'The King of the Jews,' but that he said, 'I am the King of the Jews.'"
"omnis, omnis, omne"	""	""	"1:7"	"la : hic venit in testimonium, ut testimonium perhiberet de lumine, ut omnes crederent per illum.
en: He came for testimony, to testify to the light, so that all might believe through him."
"omnis, omnis, omne"	""	""	"2:15"	"la : et cum fecisset flagellum de funiculis, omnes eiecit de templo, oves quoque et boves, et nummulariorum effudit aes et mensas subvertit;
en: He made a whip out of cords and drove them all out of the temple area, with the sheep and oxen, and spilled the coins of the money-changers and overturned their tables,"
"omnis, omnis, omne"	""	""	"3:26"	"la : Et venerunt ad Ioannem et dixerunt ei: “ Rabbi, qui erat tecum trans Iordanem, cui tu testimonium perhibuisti, ecce hic baptizat, et omnes veniunt ad eum! ”.
en: So they came to John and said to him, ""Rabbi, the one who was with you across the Jordan, to whom you testified, here he is baptizing and everyone is coming to him."
"omnis, omnis, omne"	""	""	"4:25"	"la : Dicit ei mulier: “ Scio quia Messias venit — qui dicitur Christus C; cum venerit ille, nobis annuntiabit omnia ”.
en: The woman said to him, ""I know that the Messiah is coming, the one called the Anointed; when he comes, he will tell us everything."
"omnis, omnis, omne"	""	""	"5:20"	"la : Pater enim diligit Filium et omnia demonstrat ei, quae ipse facit, et maiora his demonstrabit ei opera, ut vos miremini.
en: For the Father loves his Son and shows him everything that he himself does, and he will show him greater works than these, so that you may be amazed."
"omnis, omnis, omne"	""	""	"6:45"	"la : Est scriptum in Prophetis: “Et erunt omnes docibiles Dei “. Omnis, qui audivit a Patre et didicit, venit ad me.
en: It is written in the prophets: 'They shall all be taught by God.' Everyone who listens to my Father and learns from him comes to me."
"omnis, omnis, omne"	""	""	"10:4"	"la : Cum proprias omnes emiserit, ante eas vadit, et oves illum sequuntur, quia sciunt vocem eius;
en: When he has driven out all his own, he walks ahead of them, and the sheep follow him, because they recognize his voice."
"omnis, omnis, omne"	""	""	"11:48"	"la : Si dimittimus eum sic, omnes credent in eum, et venient Romani et tollent nostrum et locum et gentem! ”.
en: If we leave him alone, all will believe in him, and the Romans will come and take away both our land and our nation."
"omnis, omnis, omne"	""	""	"13:11"	"la : Sciebat enim quisnam esset, qui traderet eum; propterea dixit: “ Non estis mundi omnes ”.
en: For he knew who would betray him; for this reason, he said, ""Not all of you are clean."
"omnis, omnis, omne"	""	""	"15:15"	"la : Iam non dico vos servos, quia servus nescit quid facit dominus eius; vos autem dixi amicos, quia omnia, quae audivi a Patre meo, nota feci vobis.
en: I no longer call you slaves, because a slave does not know what his master is doing. I have called you friends, because I have told you everything I have heard from my Father."
"scio, scire, scivi, scitus"	""	""	"2:9"	"la : Ut autem gustavit architriclinus aquam vinum factam et non sciebat unde esset, ministri autem sciebant, qui haurierant aquam, vocat sponsum architriclinus
en: And when the headwaiter tasted the water that had become wine, without knowing where it came from (although the servers who had drawn the water knew), the headwaiter called the bridegroom"
"scio, scire, scivi, scitus"	""	""	"4:22"	"la : Vos adoratis, quod nescitis; nos adoramus, quod scimus, quia salus ex Iudaeis est.
en: You people worship what you do not understand; we worship what we understand, because salvation is from the Jews."
"scio, scire, scivi, scitus"	""	""	"6:64"	"la : Sed sunt quidam ex vobis, qui non credunt ”. Sciebat enim ab initio Iesus, qui essent non credentes, et quis traditurus esset eum.
en: But there are some of you who do not believe."" Jesus knew from the beginning the ones who would not believe and the one who would betray him."
"scio, scire, scivi, scitus"	""	""	"8:14"	"la : Respondit Iesus et dixit eis: “ Et si ego testimonium perhibeo de meipso, verum est testimonium meum, quia scio unde veni et quo vado; vos autem nescitis unde venio aut quo vado.
en: Jesus answered and said to them, ""Even if I do testify on my own behalf, my testimony can be verified, because I know where I came from and where I am going. But you do not know where I come from or where I am going."
"scio, scire, scivi, scitus"	""	""	"9:20"	"la : Responderunt ergo parentes eius et dixerunt: “ Scimus quia hic est filius noster et quia caecus natus est.
en: His parents answered and said, ""We know that this is our son and that he was born blind."
"scio, scire, scivi, scitus"	""	""	"11:22"	"la : Sed et nunc scio quia, quaecumque poposceris a Deo, dabit tibi Deus ”.
en: (But) even now I know that whatever you ask of God, God will give you."
"scio, scire, scivi, scitus"	""	""	"13:3"	"la : sciens quia omnia dedit ei Pater in manus, et quia a Deo exivit et ad Deum vadit,
en: fully aware that the Father had put everything into his power and that he had come from God and was returning to God,"
"scio, scire, scivi, scitus"	""	""	"13:18"	"la : Non de omnibus vobis dico, ego scio, quos elegerim, sed ut impleatur Scriptura: “Qui manducat meum panem, levavit contra me calcaneum suum”.
en: I am not speaking of all of you. I know those whom I have chosen. But so that the scripture might be fulfilled, 'The one who ate my food has raised his heel against me.'"
"scio, scire, scivi, scitus"	""	""	"16:30"	"la : Nunc scimus quia scis omnia, et non opus est tibi, ut quis te interroget; in hoc credimus quia a Deo existi ”.
en: Now we realize that you know everything and that you do not need to have anyone question you. Because of this we believe that you came from God."
"scio, scire, scivi, scitus"	""	""	"19:35"	"la : Et qui vidit, testimonium perhibuit, et verum est eius testimonium, et ille scit quia vera dicit, ut et vos credatis.
en: An eyewitness has testified, and his testimony is true; he knows that he is speaking the truth, so that you also may (come to) believe."
"loquor, loqui, locutus sum"	""	""	"3:11"	"la : Amen, amen dico tibi: Quod scimus, loquimur et, quod vidimus, testamur; et testimonium nostrum non accipitis.
en: Amen, amen, I say to you, we speak of what we know and we testify to what we have seen, but you people do not accept our testimony."
"loquor, loqui, locutus sum"	""	""	"4:27"	"la : Et continuo venerunt discipuli eius et mirabantur quia cum muliere loquebatur; nemo tamen dixit: “ Quid quaeris aut quid loqueris cum ea? ”.
en: At that moment his disciples returned, and were amazed that he was talking with a woman, but still no one said, ""What are you looking for?"" or ""Why are you talking with her?"
"loquor, loqui, locutus sum"	""	""	"7:46"	"la : Responderunt ministri: “ Numquam sic locutus est homo ”.
en: The guards answered, ""Never before has anyone spoken like this one."
"loquor, loqui, locutus sum"	""	""	"8:30"	"la : Haec illo loquente, multi crediderunt in eum.
en: Because he spoke this way, many came to believe in him."
"loquor, loqui, locutus sum"	""	""	"10:6"	"la : Hoc proverbium dixit eis Iesus; illi autem non cognoverunt quid esset, quod loquebatur eis.
en: Although Jesus used this figure of speech, they did not realize what he was trying to tell them."
"loquor, loqui, locutus sum"	""	""	"12:49"	"la : quia ego ex meipso non sum locutus, sed, qui misit me, Pater, ipse mihi mandatum dedit quid dicam et quid loquar.
en: because I did not speak on my own, but the Father who sent me commanded me what to say and speak."
"loquor, loqui, locutus sum"	""	""	"14:30"	"la : Iam non multa loquar vobiscum, venit enim princeps mundi et in me non habet quidquam;
en: I will no longer speak much with you, for the ruler of the world is coming. He has no power over me,"
"loquor, loqui, locutus sum"	""	""	"16:1"	"la : Haec locutus sum vobis, ut non scandalizemini.
en: I have told you this so that you may not fall away."
"loquor, loqui, locutus sum"	""	""	"16:18"	"la : Dicebant ergo: “ Quid est hoc, quod dicit: “Modicum”? Nescimus quid loquitur ”.
en: So they said, ""What is this 'little while' (of which he speaks)? We do not know what he means."
"loquor, loqui, locutus sum"	""	""	"17:13"	"la : Nunc autem ad te venio et haec loquor in mundo, ut habeant gaudium meum impletum in semetipsis.
en: But now I am coming to you. I speak this in the world so that they may share my joy completely."
"filius, fili"	""	""	"1:45"	"la : Invenit Philippus Nathanael et dicit ei: “ Quem scripsit Moyses in Lege et Prophetae invenimus, Iesum filium Ioseph a Nazareth ”.
en: Philip found Nathanael and told him, ""We have found the one about whom Moses wrote in the law, and also the prophets, Jesus, son of Joseph, from Nazareth."
"filius, fili"	""	""	"3:14"	"la : Et sicut Moyses exaltavit serpentem in deserto, ita exaltari oportet Filium hominis,
en: And just as Moses lifted up the serpent in the desert, so must the Son of Man be lifted up,"
"filius, fili"	""	""	"4:46"	"la : Venit ergo iterum in Cana Galilaeae, ubi fecit aquam vinum. Et erat quidam regius, cuius filius infirmabatur Capharnaum;
en: Then he returned to Cana in Galilee, where he had made the water wine. Now there was a royal official whose son was ill in Capernaum."
"filius, fili"	""	""	"5:19"	"la : Respondit itaque Iesus et dixit eis: “ Amen, amen dico vobis: Non potest Filius a se facere quidquam, nisi quod viderit Patrem facientem; quaecumque enim ille faciat, haec et Filius similiter facit.
en: Jesus answered and said to them, ""Amen, amen, I say to you, a son cannot do anything on his own, but only what he sees his father doing; for what he does, his son will do also."
"filius, fili"	""	""	"5:25"	"la : Amen, amen dico vobis: Venit hora, et nunc est, quando mortui audient vocem Filii Dei et, qui audierint, vivent.
en: Amen, amen, I say to you, the hour is coming and is now here when the dead will hear the voice of the Son of God, and those who hear will live."
"filius, fili"	""	""	"6:42"	"la : et dicebant: “ Nonne hic est Iesus filius Ioseph, cuius nos novimus patrem et matrem? Quomodo dicit nunc: “De caelo descendi”? ”.
en: and they said, ""Is this not Jesus, the son of Joseph? Do we not know his father and mother? Then how can he say, 'I have come down from heaven'?"
"filius, fili"	""	""	"8:35"	"la : Servus autem non manet in domo in aeternum; filius manet in aeternum.
en: A slave does not remain in a household forever, but a son always remains."
"filius, fili"	""	""	"9:19"	"la : Et interrogaverunt eos dicentes: “ Hic est filius vester, quem vos dicitis quia caecus natus est? Quomodo ergo nunc videt? ”.
en: They asked them, ""Is this your son, who you say was born blind? How does he now see?"
"filius, fili"	""	""	"11:27"	"la : Ait illi: “ Utique, Domine; ego credidi quia tu es Christus Filius Dei, qui in mundum venisti ”.
en: She said to him, ""Yes, Lord. I have come to believe that you are the Messiah, the Son of God, the one who is coming into the world."
"filius, fili"	""	""	"12:36"	"la : Dum lucem habetis, credite in lucem, ut filii lucis fiatis ”. Haec locutus est Iesus et abiit et abscondit se ab eis.
en: While you have the light, believe in the light, so that you may become children of the light."" After he had said this, Jesus left and hid from them."
"homo, hominis"	""	""	"1:4"	"la : in ipso vita erat, et vita erat lux hominum,
en: through him was life, and this life was the light of the human race;"
"homo, hominis"	""	""	"2:10"	"la : et dicit ei: “ Omnis homo primum bonum vinum ponit et, cum inebriati fuerint, id quod deterius est; tu servasti bonum vinum usque adhuc ”.
en: and said to him, ""Everyone serves good wine first, and then when people have drunk freely, an inferior one; but you have kept the good wine until now."
"homo, hominis"	""	""	"3:13"	"la : Et nemo ascendit in caelum, nisi qui descendit de caelo, Filius hominis.
en: No one has gone up to heaven except the one who has come down from heaven, the Son of Man."
"homo, hominis"	""	""	"4:50"	"la : Dicit ei Iesus: “ Vade. Filius tuus vivit ”. Credidit homo sermoni, quem dixit ei Iesus, et ibat.
en: Jesus said to him, ""You may go; your son will live."" The man believed what Jesus said to him and left."
"homo, hominis"	""	""	"5:15"	"la : Abiit ille homo et nuntiavit Iudaeis quia Iesus esset, qui fecit eum sanum.
en: The man went and told the Jews that Jesus was the one who had made him well."
"homo, hominis"	""	""	"6:14"	"la : Illi ergo homines, cum vidissent quod fecerat signum, dicebant: “ Hic est vere propheta, qui venit in mundum! ”.
en: When the people saw the sign he had done, they said, ""This is truly the Prophet, the one who is to come into the world."
"homo, hominis"	""	""	"7:23"	"la : Si circumcisionem accipit homo in sabbato, ut non solvatur lex Moysis, mihi indignamini, quia totum hominem sanum feci in sabbato?
en: If a man can receive circumcision on a sabbath so that the law of Moses may not be broken, are you angry with me because I made a whole person well on a sabbath?"
"homo, hominis"	""	""	"9:1"	"la : Et praeteriens vidit hominem caecum a nativitate.
en: As he passed by he saw a man blind from birth."
"homo, hominis"	""	""	"9:35"	"la : Audivit Iesus quia eiecerunt eum foras et, cum invenisset eum, dixit ei: “ Tu credis in Filium hominis? ”.
en: When Jesus heard that they had thrown him out, he found him and said, ""Do you believe in the Son of Man?"
"homo, hominis"	""	""	"12:34"	"la : Respondit ergo ei turba: “ Nos audivimus ex Lege, quia Christus manet in aeternum; et quomodo tu dicis: “Oportet exaltari Filium hominis”? Quis est iste Filius hominis? ”.
en: So the crowd answered him, ""We have heard from the law that the Messiah remains forever. Then how can you say that the Son of Man must be lifted up? Who is this Son of Man?"
"audio, audire, audivi, auditus"	""	""	"3:29"	"la : Qui habet sponsam, sponsus est; amicus autem sponsi, qui stat et audit eum, gaudio gaudet propter vocem sponsi. Hoc ergo gaudium meum impletum est.
en: The one who has the bride is the bridegroom; the best man, who stands and listens for him, rejoices greatly at the bridegroom's voice. So this joy of mine has been made complete."
"audio, audire, audivi, auditus"	""	""	"4:47"	"la : hic, cum audisset quia Iesus advenerit a Iudaea in Galilaeam, abiit ad eum et rogabat, ut descenderet et sanaret filium eius; incipiebat enim mori.
en: When he heard that Jesus had arrived in Galilee from Judea, he went to him and asked him to come down and heal his son, who was near death."
"audio, audire, audivi, auditus"	""	""	"6:60"	"la : Multi ergo audientes ex discipulis eius dixerunt: “ Durus est hic sermo! Quis potest eum audire? ”.
en: Then many of his disciples who were listening said, ""This saying is hard; who can accept it?"
"audio, audire, audivi, auditus"	""	""	"7:51"	"la : “ Numquid lex nostra iudicat hominem, nisi audierit ab ipso prius et cognoverit quid faciat? ”.
en: Does our law condemn a person before it first hears him and finds out what he is doing?"
"audio, audire, audivi, auditus"	""	""	"8:43"	"la : Quare loquelam meam non cognoscitis? Quia non potestis audire sermonem meum.
en: Why do you not understand what I am saying? Because you cannot bear to hear my word."
"audio, audire, audivi, auditus"	""	""	"9:31"	"la : Scimus quia peccatores Deus non audit; sed, si quis Dei cultor est et voluntatem eius facit, hunc exaudit.
en: We know that God does not listen to sinners, but if one is devout and does his will, he listens to him."
"audio, audire, audivi, auditus"	""	""	"10:8"	"la : Omnes, quotquot venerunt ante me, fures sunt et latrones, sed non audierunt eos oves.
en: All who came [before me] are thieves and robbers, but the sheep did not listen to them."
"audio, audire, audivi, auditus"	""	""	"11:4"	"la : Audiens autem Iesus dixit: “ Infirmitas haec non est ad mortem sed pro gloria Dei, ut glorificetur Filius Dei per eam ”.
en: When Jesus heard this he said, ""This illness is not to end in death, but is for the glory of God, that the Son of God may be glorified through it."
"audio, audire, audivi, auditus"	""	""	"11:29"	"la : Illa autem ut audivit, surrexit cito et venit ad eum;
en: As soon as she heard this, she rose quickly and went to him."
"audio, audire, audivi, auditus"	""	""	"12:29"	"la : Turba ergo, quae stabat et audierat, dicebat tonitruum factum esse; alii dicebant: “ Angelus ei locutus est ”.
en: The crowd there heard it and said it was thunder; but others said, ""An angel has spoken to him."
"dominus, domini"	""	""	"4:49"	"la : Dicit ad eum regius: “ Domine, descende priusquam moriatur puer meus ”.
en: The royal official said to him, ""Sir, come down before my child dies."
"dominus, domini"	""	""	"8:11"	"la : Quae dixit: “ Nemo, Domine ”. Dixit autem Iesus: “ Nec ego te condemno; vade et amplius iam noli peccare ”.
en: She replied, ""No one, sir."" Then Jesus said, ""Neither do I condemn you. Go, (and) from now on do not sin any more."
"dominus, domini"	""	""	"11:3"	"la : Miserunt ergo sorores ad eum dicentes: “ Domine, ecce, quem amas, infirmatur ”.
en: So the sisters sent word to him, saying, ""Master, the one you love is ill."
"dominus, domini"	""	""	"11:34"	"la : et dixit: “ Ubi posuistis eum? ”. Dicunt ei: “ Domine, veni et vide ”.
en: and said, ""Where have you laid him?"" They said to him, ""Sir, come and see."
"dominus, domini"	""	""	"12:38"	"la : ut sermo Isaiae prophetae impleretur, quem dixit: “ Domine, quis credidit auditui nostro, et brachium Domini cui revelatum est? ”.
en: in order that the word which Isaiah the prophet spoke might be fulfilled: ""Lord, who has believed our preaching, to whom has the might of the Lord been revealed?"
