"word"	"headword"	"pos"	"meaning"
"cogitatis"	"cogito, cogitare, cogitavi, cogitatus"	"V"	"think"
"cogitaverunt"	"cogito, cogitare, cogitavi, cogitatus"	"V"	"think"
"cognatus"	"cognatus, cognata, cognatum"	"ADJ"	"related, related by birth/position, kindred"
"cognominatur"	"cognomino, cognominare, cognominavi, cognominatus"	"V"	"give surname/epithet/sobriquet to person"
"cognoscant"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognoscat"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognoscatis"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognoscent"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognoscet"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognoscetis"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognoscis"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognoscit"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognoscitis"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognosco"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognoscunt"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognoverit"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognoverunt"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognovi"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognovimus"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognovisset"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognovisti"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognovistis"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cognovit"	"cognosco, cognoscere, cognovi, cognitus"	"V"	"become acquainted with/aware of"
"cohors"	"cohors, cohortis"	"N"	"court"
"cohortem"	"cohors, cohortis"	"N"	"court"
"collegerunt"	"colligo, colligere, collegi, collectus"	"V"	"collect, assemble, bring/gather/hold/keep together"
"colligite"	"colligo, colligere, collegi, collectus"	"V"	"collect, assemble, bring/gather/hold/keep together"
"colligunt"	"colligo, colligere, collegi, collectus"	"V"	"collect, assemble, bring/gather/hold/keep together"
"colloquebantur"	"colloquor, colloqui, collocutus sum"	"V"	"talk/speak to/with"
"columbam"	"columba, columbae"	"N"	"pigeon"
"columbas"	"columba, columbae"	"N"	"pigeon"
"comedit"	"comedo, comedere, comedi, comesus"	"V"	"eat up/away, chew up"
"comminuetur"	"comminuo, comminuere, comminui, comminutus"	"V"	"break/crumble into pieces, shatter"
"comprehendant"	"comprehendo, comprehendere, comprehendi, comprehensus"	"V"	"catch/seize/grasp firmly"
"comprehenderunt"	"comprehendo, comprehendere, comprehendi, comprehensus"	"V"	"catch/seize/grasp firmly"
"concilium"	"concilium, concili(i)"	"N"	"public gathering/meeting"
"condemnavit"	"condemno, condemnare, condemnavi, condemnatus"	"V"	"condemn, doom, convict"
"condemno"	"condemno, condemnare, condemnavi, condemnatus"	"V"	"condemn, doom, convict"
"condiscipulos"	"condiscipulus, condiscipuli"	"N"	"fellow pupil/student (male)"
"confessus"	"confiteor, confiteri, confessus sum"	"V"	"confess (w/ACC), admit, acknowledge, reveal, disclose"
"confidite"	"confido, confidere, confisus sum"	"V"	"have confidence in, rely on, trust (to)"
"confitebantur"	"confiteor, confiteri, confessus sum"	"V"	"confess (w/ACC), admit, acknowledge, reveal, disclose"
"confiteretur"	"confiteor, confiteri, confessus sum"	"V"	"confess (w/ACC), admit, acknowledge, reveal, disclose"
"congregaret"	"congrego, congregare, congregavi, congregatus"	"V"	"collect/bring together/assemble/convene"
"congregat"	"congrego, congregare, congregavi, congregatus"	"V"	"collect/bring together/assemble/convene"
"consilium"	"consilium, consili(i)"	"N"	"debate/discussion/deliberation/consultation"
"consolabantur"	"consolor, consolari, consolatus sum"	"V"	"console, (be source of) comfort/solace"
"consolarentur"	"consolor, consolari, consolatus sum"	"V"	"console, (be source of) comfort/solace"
"conspectu"	"conspectus, conspectus"	"N"	"view, (range of) sight"
"conspiraverant"	"conspiro, conspirare, conspiravi, conspiratus"	"V"	"plot/conspire/unite"
"constituta"	"constituo, constituere, constitui, constitutus"	"V"	"set up/in position, erect"
"constitutionem"	"constitutio, constitutionis"	"N"	"constitution/disposition/structure/character"
"consuetudo"	"consuetudo, consuetudinis"	"N"	"habit/custom/usage/way"
"consummaretur"	"consummo, consummare, consummavi, consummatus"	"V"	"add/reckon/total/sum/make up"
"consummata"	"consummo, consummare, consummavi, consummatus"	"V"	"add/reckon/total/sum/make up"
"consummati"	"consummo, consummare, consummavi, consummatus"	"V"	"add/reckon/total/sum/make up"
"consummatum"	"consummo, consummare, consummavi, consummatus"	"V"	"add/reckon/total/sum/make up"
"consummavi"	"consummo, consummare, consummavi, consummatus"	"V"	"add/reckon/total/sum/make up"
"contaminarentur"	"contamino, contaminare, contaminavi, contaminatus"	"V"	"corrupt, defile (w/filth/intercourse), stain, befoul spoil"
"contexta"	"contexo, contexere, contexui, contextus"	"V"	"weave/entwine/braid/twist together"
"contingat"	"contingo, contingere, contigi, contactus"	"V"	"touch"
"continuo"	"continuus, continua, continuum"	"ADJ"	"incessant/unremitting, constantly repeated/recurring"
"contra"	"contra"	"ADV"	"facing, face-to-face, in the eyes"
"contradicit"	"contradico, contradicere, contradixi, contradictus"	"V"	"gainsay/contradict"
"contristabimini"	"contristo, contristare, contristavi, contristatus"	"V"	"sadden, make gloomy, depress, discourage"
"contristatus"	"contristo, contristare, contristavi, contristatus"	"V"	"sadden, make gloomy, depress, discourage"
"convenerat"	"convenio, convenire, conveni, conventus"	"V"	"be appropriate to, fit, be correctly shaped/consistent"
"conveniunt"	"convenio, convenire, conveni, conventus"	"V"	"be appropriate to, fit, be correctly shaped/consistent"
"conversa"	"converto, convertere, converti, conversus"	"V"	"turn upside down/side-to-side"
"conversus"	"converto, convertere, converti, conversus"	"V"	"turn upside down/side-to-side"
"convertantur"	"converto, convertere, converti, conversus"	"V"	"turn upside down/side-to-side"
"cophinos"	"cophinus, cophini"	"N"	"basket, hamper"
"cor"	"cor, cordis"	"N"	"heart"
"coram"	"coram"	"ADV"	"in person, face-to-face"
"corde"	"cor, cordis"	"N"	"heart"
"coronam"	"corona, coronae"	"N"	"crown"
"corpora"	"corpus, corporis"	"N"	"body"
"corporis"	"corpus, corporis"	"N"	"body"
"corpus"	"corpus, corporis"	"N"	"body"
"corrigiam"	"corrigia, corrigiae"	"N"	"shoe-lace/tie, thong for securing shoes to feet"
"coutuntur"	"coutor, couti, cousus sum"	"V"	"associate with, have dealings with"
"crastinum"	"crastinus, crastina, crastinum"	"ADJ"	"of tomorrow/next day/future"
"credam"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credamus"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credant"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credat"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credatis"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"crede"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credebant"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credebat"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credent"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credentes"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credere"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"crederent"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"crederetis"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credetis"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"crediderant"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credideris"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credideritis"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"crediderunt"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credidi"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credidimus"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credidisti"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credidistis"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credidit"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credimus"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credis"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credit"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credite"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"creditis"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credituri"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credo"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"credunt"	"credo, credere, credidi, creditus"	"V"	"trust, entrust"
"crescere"	"cresco, crescere, crevi, cretus"	"V"	"come forth/to be"
"cruce"	"crux, crucis"	"N"	"cross"
"crucem"	"crux, crucis"	"N"	"cross"
"crucifigam"	"crucifigo, crucifigere, crucifixi, crucifixus"	"V"	"crucify"
"crucifige"	"crucifigo, crucifigere, crucifixi, crucifixus"	"V"	"crucify"
"crucifigere"	"crucifigo, crucifigere, crucifixi, crucifixus"	"V"	"crucify"
"crucifigeretur"	"crucifigo, crucifigere, crucifixi, crucifixus"	"V"	"crucify"
"crucifigite"	"crucifigo, crucifigere, crucifixi, crucifixus"	"V"	"crucify"
"crucifixerunt"	"crucifigo, crucifigere, crucifixi, crucifixus"	"V"	"crucify"
"crucifixissent"	"crucifigo, crucifigere, crucifixi, crucifixus"	"V"	"crucify"
"crucifixus"	"crucifixus, crucifixi"	"N"	"crucifix"
"crura"	"crus, cruris"	"N"	"leg"
"cubitis"	"cubo, cubare, cubui, cubitus"	"V"	"lie (down/asleep)"
"cui"	"qui, quae, quod"	"PRON"	"who"
"cuius"	"qui, quae, quod"	"PRON"	"who"
"cultor"	"cultor, cultoris"	"N"	"inhabitant"
"cum"	"cum"	"ADV"	"when, at the time/on each occasion/in the situation that"
"currebant"	"curro, currere, cucurri, cursus"	"V"	"run/trot/gallop, hurry/hasten/speed, move/travel/proceed/flow swiftly/quickly"
"currit"	"curro, currere, cucurri, cursus"	"V"	"run/trot/gallop, hurry/hasten/speed, move/travel/proceed/flow swiftly/quickly"
"custodierit"	"custodio, custodire, custodivi, custoditus"	"V"	"guard/protect/preserve, watch over, keep safe"
"custodiet"	"custodio, custodire, custodivi, custoditus"	"V"	"guard/protect/preserve, watch over, keep safe"
"custodit"	"custodio, custodire, custodivi, custoditus"	"V"	"guard/protect/preserve, watch over, keep safe"
"custodivi"	"custodio, custodire, custodivi, custoditus"	"V"	"guard/protect/preserve, watch over, keep safe"
"da"	"do, dare, dedi, datus"	"V"	"give"
"dabant"	"do, dare, dedi, datus"	"V"	"give"
"dabit"	"do, dare, dedi, datus"	"V"	"give"
"dabo"	"do, dare, dedi, datus"	"V"	"give"
"daemonium"	"daemon, daemonis"	"N"	"spirit, supernatural being, intermediary between man and god"
"dare"	"do, dare, dedi, datus"	"V"	"give"
"daret"	"do, dare, dedi, datus"	"V"	"give"
"dat"	"do, dare, dedi, datus"	"V"	"give"
"data"	"do, dare, dedi, datus"	"V"	"give"
"datum"	"do, dare, dedi, datus"	"V"	"give"
"david"	"David, undeclined"	"N"	"David"
"de"	"de"	"PREP"	"down/away from, from, off"
"debet"	"debeo, debere, debui, debitus"	"V"	"owe"
"debetis"	"debeo, debere, debui, debitus"	"V"	"owe"
"decertarent"	"decerto, decertare, decertavi, decertatus"	"V"	"fight (issue out/to the finish)"
"decima"	"decem, decimus -a -um, deni -ae -a, decie(n)s"	"NUM"	" 10th - (ORD, 'in series')"
"declinavit"	"declino, declinare, declinavi, declinatus"	"V"	"deflect/divert/turnaside/swerve/change direction/deviate/dodge"
"dederant"	"do, dare, dedi, datus"	"V"	"give"
"dederat"	"do, dare, dedi, datus"	"V"	"give"
"dedi"	"do, dare, dedi, datus"	"V"	"give"
"dedisset"	"do, dare, dedi, datus"	"V"	"give"
"dedisti"	"do, dare, dedi, datus"	"V"	"give"
"dedit"	"do, dare, dedi, datus"	"V"	"give"
"deducet"	"deduco, deducere, deduxi, deductus"	"V"	"lead/draw//pull/bring/stretch down/away/out/off"
"deficiente"	"deficio, deficere, defeci, defectus"	"V"	"fail/falter"
"dei"	"Deus, Dei"	"N"	"God (Christian text)"
"deinde"	"deinde"	"ADV"	"then/next/afterward"
"demonstrabit"	"demonstro, demonstrare, demonstravi, demonstratus"	"V"	"point out/at/to, draw attention to"
"demonstrat"	"demonstro, demonstrare, demonstravi, demonstratus"	"V"	"point out/at/to, draw attention to"
"demorabatur"	"demoror, demorari, demoratus sum"	"V"	"detain, cause delay, keep waiting/back, hold up"
"demus"	"do, dare, dedi, datus"	"V"	"give"
"denariis"	"denarius, denarii"	"N"	"denarius (silver coin=10/16/18 asses)"
"denariorum"	"denarius, denarii"	"N"	"denarius (silver coin=10/16/18 asses)"
"denuo"	"denuo"	"ADV"	"anew, over again, from a fresh beginning"
"deo"	"Deus, Dei"	"N"	"God (Christian text)"
"deorsum"	"deorsum"	"ADV"	"down, downwards, beneath, below"
"deos"	"Deus, Dei"	"N"	"God (Christian text)"
"deprehensa"	"deprehendo, deprehendere, deprehendi, deprehensus"	"V"	"seize/catch"
"deprehensam"	"deprehendo, deprehendere, deprehendi, deprehensus"	"V"	"seize/catch"
"descende"	"descendo, descendere, descendi, descensus"	"V"	"descend, climb/march/come/go/flow/run/hang down"
"descendens"	"descendo, descendere, descendi, descensus"	"V"	"descend, climb/march/come/go/flow/run/hang down"
"descendente"	"descendo, descendere, descendi, descensus"	"V"	"descend, climb/march/come/go/flow/run/hang down"
"descendentem"	"descendo, descendere, descendi, descensus"	"V"	"descend, climb/march/come/go/flow/run/hang down"
"descendentes"	"descendo, descendere, descendi, descensus"	"V"	"descend, climb/march/come/go/flow/run/hang down"
"descenderet"	"descendo, descendere, descendi, descensus"	"V"	"descend, climb/march/come/go/flow/run/hang down"
"descenderunt"	"descendo, descendere, descendi, descensus"	"V"	"descend, climb/march/come/go/flow/run/hang down"
"descendi"	"descendo, descendere, descendi, descensus"	"V"	"descend, climb/march/come/go/flow/run/hang down"
"descendit"	"descendo, descendere, descendi, descensus"	"V"	"descend, climb/march/come/go/flow/run/hang down"
"deserto"	"desero, deserere, deserui, desertus"	"V"	"leave/depart/quit/desert"
"desertum"	"desero, deserere, deserui, desertus"	"V"	"leave/depart/quit/desert"
"desideria"	"desiderium, desideri(i)"	"N"	"desire/longing/want/requirement"
"desuper"	"desuper"	"ADV"	"from above, from overhead"
"det"	"do, dare, dedi, datus"	"V"	"give"
"deterius"	"-, -, deterior -or -us, deterrimus -a -um"	"ADJ"	"low/bad/inferior"
"deum"	"Deus, Dei"	"N"	"God (Christian text)"
"deus"	"Deus, Dei"	"N"	"God (Christian text)"
"dexteram"	"dextera, dexterae"	"N"	"right hand"
"dextram"	"dexter, dextra -um, dexterior -or -us, dextimus -a -um"	"ADJ"	"right, on/to the right hand/side"
"diabolo"	"diabolus, diaboli"	"N"	"devil"
"diabolus"	"diabolus, diaboli"	"N"	"devil"
"dic"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dicam"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dicebant"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dicebat"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dicens"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dicentes"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dicere"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"diceret"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dicimus"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dicis"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dicit"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dicitis"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dicito"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dicitur"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dico"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dicunt"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"didicerit"	"disco, discere, didici, discitus"	"V"	"learn"
"didicit"	"disco, discere, didici, discitus"	"V"	"learn"
"didymus"	"Didymus, Didymi"	"N"	"""twin"", apostle Thomas"
"die"	"dies, diei"	"N"	"day"
"diebus"	"dies, diei"	"N"	"day"
"diei"	"dies, diei"	"N"	"day"
"diem"	"dies, diei"	"N"	"day"
"dies"	"dies, diei"	"N"	"day"
"digito"	"digitus, digiti"	"N"	"finger"
"digitum"	"digitus, digiti"	"N"	"finger"
"dignus"	"dignus, digna -um, dignior -or -us, dignissimus -a -um"	"ADJ"	"appropriate/suitable"
"dii"	"dies, diei"	"N"	"day"
"dilectio"	"dilectio, dilectionis"	"N"	"love"
"dilectione"	"dilectio, dilectionis"	"N"	"love"
"dilectionem"	"dilectio, dilectionis"	"N"	"love"
"dilexerunt"	"diligo, diligere, dilexi, dilectus"	"V"	"love, hold dear"
"dilexi"	"diligo, diligere, dilexi, dilectus"	"V"	"love, hold dear"
"dilexisset"	"diligo, diligere, dilexi, dilectus"	"V"	"love, hold dear"
"dilexisti"	"diligo, diligere, dilexi, dilectus"	"V"	"love, hold dear"
"dilexit"	"diligo, diligere, dilexi, dilectus"	"V"	"love, hold dear"
"diligam"	"diligo, diligere, dilexi, dilectus"	"V"	"love, hold dear"
"diligatis"	"diligo, diligere, dilexi, dilectus"	"V"	"love, hold dear"
"diligebat"	"diligo, diligere, dilexi, dilectus"	"V"	"love, hold dear"
"diligeret"	"diligo, diligere, dilexi, dilectus"	"V"	"love, hold dear"
"diligeretis"	"diligo, diligere, dilexi, dilectus"	"V"	"love, hold dear"
"diliget"	"diligo, diligere, dilexi, dilectus"	"V"	"love, hold dear"
"diligetur"	"diligo, diligere, dilexi, dilectus"	"V"	"love, hold dear"
"diligis"	"diligo, diligere, dilexi, dilectus"	"V"	"love, hold dear"
"diligit"	"diligo, diligere, dilexi, dilectus"	"V"	"love, hold dear"
"diligitis"	"diligo, diligere, dilexi, dilectus"	"V"	"love, hold dear"
"diligo"	"diligo, diligere, dilexi, dilectus"	"V"	"love, hold dear"
"diluculo"	"diluculum, diluculi"	"N"	"dawn, daybreak, first light"
"dimittam"	"dimitto, dimittere, dimisi, dimissus"	"V"	"send away/off"
"dimittere"	"dimitto, dimittere, dimisi, dimissus"	"V"	"send away/off"
"dimittimus"	"dimitto, dimittere, dimisi, dimissus"	"V"	"send away/off"
"dimittis"	"dimitto, dimittere, dimisi, dimissus"	"V"	"send away/off"
"dimittit"	"dimitto, dimittere, dimisi, dimissus"	"V"	"send away/off"
"dirigite"	"dirigo, dirigere, direxi, directus"	"V"	"arrange/set in line/direction"
"discipuli"	"discipulus, discipuli"	"N"	"student, pupil, trainee"
"discipulis"	"discipulus, discipuli"	"N"	"student, pupil, trainee"
"discipulo"	"discipulus, discipuli"	"N"	"student, pupil, trainee"
"discipulorum"	"discipulus, discipuli"	"N"	"student, pupil, trainee"
"discipulos"	"discipulus, discipuli"	"N"	"student, pupil, trainee"
"discipulum"	"discipulus, discipuli"	"N"	"student, pupil, trainee"
"discipulus"	"discipulus, discipuli"	"N"	"student, pupil, trainee"
"discubuerunt"	"discumbo, discumbere, discubui, discubitus"	"V"	"sit (to eat), recline at table"
"discumbentibus"	"discumbo, discumbere, discubui, discubitus"	"V"	"sit (to eat), recline at table"
"discumbentium"	"discumbo, discumbere, discubui, discubitus"	"V"	"sit (to eat), recline at table"
"discumbere"	"discumbo, discumbere, discubui, discubitus"	"V"	"sit (to eat), recline at table"
"dispergamini"	"dispergo, dispergere, dispersi, dispersus"	"V"	"scatter (about), disperse"
"dispergit"	"dispergo, dispergere, dispersi, dispersus"	"V"	"scatter (about), disperse"
"dispersi"	"dispergo, dispergere, dispersi, dispersus"	"V"	"scatter (about), disperse"
"dispersionem"	"dispersio, dispersionis"	"N"	"dispersion/scattering"
"dissensio"	"dissensio, dissensionis"	"N"	"disagreement, quarrel"
"distribuit"	"distribuo, distribuere, distribui, distributus"	"V"	"divide, distribute, assign"
"dixerat"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dixerim"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dixerit"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dixero"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dixerunt"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dixi"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dixissem"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dixisset"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dixisti"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"dixit"	"dico, dicere, dixi, dictus"	"V"	"say, declare, state"
"do"	"do, dare, dedi, datus"	"V"	"give"
"docebat"	"doceo, docere, docui, doctus"	"V"	"teach, show, point out"
"docebit"	"doceo, docere, docui, doctus"	"V"	"teach, show, point out"
"docens"	"doceo, docere, docui, doctus"	"V"	"teach, show, point out"
"doces"	"doceo, docere, docui, doctus"	"V"	"teach, show, point out"
"docibiles"	"docibilis, docibilis, docibile"	"ADJ"	"teachable"
"doctrina"	"doctrina, doctrinae"	"N"	"education"
"docturus"	"doceo, docere, docui, doctus"	"V"	"teach, show, point out"
"docui"	"doceo, docere, docui, doctus"	"V"	"teach, show, point out"
"docuit"	"doceo, docere, docui, doctus"	"V"	"teach, show, point out"
"dolus"	"dolus, doli"	"N"	"trick, device, deceit, treachery, trickery, cunning, fraud"
"domi"	"domus, domi"	"N"	"house, building"
"domine"	"dominus, domini"	"N"	"owner, lord, master"
"domini"	"dominus, domini"	"N"	"owner, lord, master"
"domino"	"dominus, domini"	"N"	"owner, lord, master"
"dominum"	"dominus, domini"	"N"	"owner, lord, master"
"dominus"	"dominus, domini"	"N"	"owner, lord, master"
"domo"	"domus, domi"	"N"	"house, building"
"domum"	"domus, domus"	"N"	"house, building"
"domus"	"domus, domus"	"N"	"house, building"
"donec"	"donec"	"CONJ"	"while, as long as, until"
"donum"	"donum, doni"	"N"	"gift, present"
"dormit"	"dormio, dormire, dormivi, dormitus"	"V"	"sleep, rest"
"dormitione"	"dormitio, dormitionis"	"N"	"sleep, act of sleeping"
"ducentis"	"duco, ducere, duxi, ductus"	"V"	"lead, command"
"ducentorum"	"ducenti -ae -a, ducentesimus -a -um, duceni -ae -a, ducentie(n)s"	"NUM"	" 200 - (CARD answers 'how many')"
"ducet"	"duco, ducere, duxi, ductus"	"V"	"lead, command"
"dum"	"dum"	"CONJ"	"while, as long as, until"
"duo"	"duo -ae o, secundus -a -um, bini -ae -a, bis"	"NUM"	" 2 - (CARD answers 'how many')"
"duobus"	"duo -ae o, secundus -a -um, bini -ae -a, bis"	"NUM"	" 2 - (CARD answers 'how many')"
"duodecim"	"duodecim, duodecimus -a -um, duodeni -ae -a, duodecie(n)s"	"NUM"	" 12 - (CARD answers 'how many')"
"duorum"	"duo -ae o, secundus -a -um, bini -ae -a, bis"	"NUM"	" 2 - (CARD answers 'how many')"
"duos"	"duo -ae o, secundus -a -um, bini -ae -a, bis"	"NUM"	" 2 - (CARD answers 'how many')"
"durus"	"durus, dura -um, durior -or -us, durissimus -a -um"	"ADJ"	"hard, stern"
"ea"	"is, ea, id"	"PRON"	"he/she/it/they (by GENDER/NUMBER)"
"eam"	"is, ea, id"	"PRON"	"he/she/it/they (by GENDER/NUMBER)"
"eamus"	"eo, ire, ivi(ii), itus"	"V"	"go, walk"
"eas"	"is, ea, id"	"PRON"	"he/she/it/they (by GENDER/NUMBER)"
"eatis"	"eo, ire, ivi(ii), itus"	"V"	"go, walk"
"ecce"	"ecce"	"INTERJ"	"behold! see! look! there! here! [ecce eum => here he is]"
"educit"	"educo, educere, eduxi, eductus"	"V"	"lead out"
"eduxit"	"educo, educere, eduxi, eductus"	"V"	"lead out"
"effectus"	"efficio, efficere, effeci, effectus"	"V"	"bring about"
"efficiamini"	"efficio, efficere, effeci, effectus"	"V"	"bring about"
"effudit"	"effundo, effundere, effudi, effusus"	"V"	"pour out/away/off"
"egenis"	"egenus, egena, egenum"	"ADJ"	"in want of, destitute of"
"egerunt"	"ago, agere, egi, actus"	"V"	"drive/urge/conduct/act"
"egisset"	"ago, agere, egi, actus"	"V"	"drive/urge/conduct/act"
"ego"	"ego, mei"	"PRON"	"I, me (PERS)"
"egredietur"	"egredior, egredi, egressus sum"	"V"	"go/march/come out"
"egressus"	"egredior, egredi, egressus sum"	"V"	"go/march/come out"
"ei"	"is, ea, id"	"PRON"	"he/she/it/they (by GENDER/NUMBER)"
"eicerentur"	"eicio, eicere, eici, eictus"	"V"	"accomplish, perform, bring about, cause"
"eiciam"	"eicio, eicere, eici, eictus"	"V"	"accomplish, perform, bring about, cause"
"eicietur"	"eicio, eicere, eici, eictus"	"V"	"accomplish, perform, bring about, cause"
"eiecerunt"	"ejicio, ejicere, ejeci, ejectus"	"V"	"cast/throw/fling/drive out/up, extract, expel, discharge, vomit"
"eiecit"	"ejicio, ejicere, ejeci, ejectus"	"V"	"cast/throw/fling/drive out/up, extract, expel, discharge, vomit"
"eis"	"is, ea, id"	"PRON"	"he/she/it/they (by GENDER/NUMBER)"
"eius"	"is, ea, id"	"PRON"	"he/she/it/they (by GENDER/NUMBER)"
"elegerim"	"eligo, eligere, elegi, electus"	"V"	"pick out, choose"
"elegi"	"eligo, eligere, elegi, electus"	"V"	"pick out, choose"
"elegistis"	"eligo, eligere, elegi, electus"	"V"	"pick out, choose"
"elevatis"	"elevo, elevare, elevavi, elevatus"	"V"	"lift up, raise"
"elias"	"Elias, Eliae"	"N"	"Elijah or Elias, a Hebrew prophet"
"eme"	"emo, emere, emi, emptus"	"V"	"buy"
"ememus"	"emo, emere, emi, emptus"	"V"	"buy"
"emerent"	"emo, emere, emi, emptus"	"V"	"buy"
"emiserit"	"emitto, emittere, emisi, emissus"	"V"	"hurl"
"enarravit"	"enarro, enarrare, enarravi, enarratus"	"V"	"describe"
"encaenia"	"encaenium, encaenii"	"N"	"consecration"
"enim"	"enim"	"CONJ"	"namely (postpos.)"
"enon"	"Enon"	"N"	"Aenon or Enon, a place where John the Baptist performed baptisms in the River Jordan"
"eo"	"is, ea, id"	"PRON"	"he/she/it/they (by GENDER/NUMBER)"
"eorum"	"is, ea, id"	"PRON"	"he/she/it/they (by GENDER/NUMBER)"
"eos"	"is, ea, id"	"PRON"	"he/she/it/they (by GENDER/NUMBER)"
"ephraim"	"Ephraim"	"N"	"Ephraim, a city in Israel"
"eram"	"sum, esse, fui, futurus"	"V"	"be"
"erant"	"sum, esse, fui, futurus"	"V"	"be"
"erat"	"sum, esse, fui, futurus"	"V"	"be"
"erexit"	"erigo, erigere, erexi, erectus"	"V"	"raise, erect, build"
"ergo"	"ergo"	"ADV"	"therefore"
"erigens"	"erigo, erigere, erexi, erectus"	"V"	"raise, erect, build"
"erit"	"sum, esse, fui, futurus"	"V"	"be"
"eritis"	"sum, esse, fui, futurus"	"V"	"be"
